GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Airport,QN98,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allerton-Pelham Gardens,BX31,Bronx,31376,9000,0.286843447,0.713156553,63863,9833,6141,3470,0.624529645,0.352893318,1044,457736,0.097833735,0.115322766,0.137427718,0.350584219,32450,7178,0.22,0.78,59992,9419,5166,4253,0.55,0.45,1336,448273,0.08,0.1,0.07,0.24,0.03,-0.2,-0.23,0.09,-0.06,-0.04,-0.16,0.23,-0.12,0.28,0.28,-0.02,-0.22,-0.17,-0.48,-0.87
Annadale-Huguenot-Princes Bay-Eltingville,SI01,Staten Island,28464,24390,0.856871838,0.143128162,93015,9616,8283,1189,0.861376872,0.123648087,1222,591603,0.296305732,0.189733772,0.185790318,0.671829822,28698,25446,0.89,0.11,92853,10010,8194,1816,0.82,0.18,1139,561305,0.31,0.18,0.09,0.58,0.01,0.04,0.03,-0.21,0,0.04,-0.01,0.53,-0.05,0.47,-0.07,-0.05,0.05,-0.07,-0.52,-0.53
Arden Heights,SI48,Staten Island,24853,19835,0.798092786,0.201907214,87442,8727,7568,999,0.867193766,0.114472327,1214,428248,0.275840092,0.175508589,0.126774485,0.578123166,26482,20642,0.78,0.22,84490,9095,7911,1184,0.87,0.13,1155,422899,0.27,0.16,0.07,0.5,0.07,0.04,-0.02,0.09,-0.03,0.04,0.05,0.19,0,0.14,-0.05,-0.01,-0.01,-0.11,-0.48,-0.59
Astoria,QN70,Queens,76898,37957,0.493601914,0.506398086,49161,34386,5358,28519,0.155819229,0.829378235,1186,596110,0.169822721,0.077795645,0.187418578,0.435036944,77252,38563,0.5,0.5,59453,34325,5206,29119,0.15,0.85,1485,552407,0.17,0.09,0.09,0.36,0,0.02,0.01,-0.01,0.21,0,-0.03,0.02,-0.03,0.02,0.25,-0.07,0.03,0.21,-0.53,-0.28
Auburndale,QN48,Queens,19603,9025,0.460388716,0.539611284,73408,7135,5025,1977,0.704274702,0.277084793,1356,600869,0.158258578,0.139686551,0.189137879,0.487083007,20609,7582,0.37,0.63,74862,6937,4706,2231,0.68,0.32,1614,644198,0.13,0.13,0.1,0.37,0.05,-0.16,-0.2,0.17,0.02,-0.03,-0.06,0.13,-0.04,0.16,0.19,0.07,-0.19,-0.05,-0.45,-0.69
Baisley Park,QN76,Queens,33942,265,0.007807436,0.992192564,57574,10521,6870,3493,0.652979755,0.332002661,1087,388568,0.000679215,0.09926998,0.112439153,0.212388347,39079,420,0.01,0.99,62609,10971,7090,3881,0.65,0.35,1340,367690,0,0.1,0.06,0.16,0.15,0.58,0.37,0,0.09,0.04,0.03,0.11,-0.01,0.07,0.23,-0.05,2.55,0.03,-0.49,2.09
Bath Beach,BK27,Brooklyn,26694,15900,0.59563947,0.40436053,40540,10314,4267,5712,0.413709521,0.553810355,996,632581,0.205350069,0.055790387,0.200594584,0.46173504,33163,14490,0.44,0.56,58243,11428,4466,6962,0.39,0.61,1299,685011,0.15,0.09,0.11,0.36,0.24,-0.09,-0.27,0.39,0.44,0.11,0.05,0.22,-0.06,0.1,0.3,0.08,-0.26,0.64,-0.45,-0.06
Battery Park City-Lower Manhattan,MN25,Manhattan,33170,21182,0.638589087,0.361410913,117126,16577,3109,13139,0.187549014,0.792604211,2000,763335,0.22030423,0.251277535,0.24783254,0.719414305,45737,29642,0.65,0.35,134266,22074,4958,17116,0.22,0.78,2931,807691,0.23,0.28,0.13,0.64,0.38,0.4,0.01,-0.03,0.15,0.33,0.59,0.3,0.2,-0.02,0.47,0.06,0.03,0.11,-0.47,-0.32
Bay Ridge,BK31,Brooklyn,81232,54905,0.675903585,0.324096415,54679,34575,12170,21912,0.351988431,0.633752711,1149,607614,0.23329636,0.09188044,0.191574668,0.516751469,79134,50197,0.63,0.37,63539,33487,12058,21429,0.36,0.64,1385,687001,0.22,0.1,0.11,0.44,-0.03,-0.09,-0.06,0.13,0.16,-0.03,-0.01,-0.02,0.02,0.01,0.21,0.13,-0.05,0.14,-0.42,-0.33
